,Dataset,Hidden Layer,Learning Rate,Neurons,Dropout,Neighbors,Sampling,G-Means
265,CM1,1.0,0.001,10.0,0.1,8.0,1.0,0.7026734661277598
266,CM1,5.0,0.001,49.0,0.6,14.0,0.2,0.0
267,CM1,1.0,0.01,45.0,0.22,16.0,1.0,0.7513876052566567
268,CM1,1.0,0.006534636848082346,45.0,0.57,13.0,0.99,0.7486098227158569
269,CM1,1.0,0.01,41.0,0.1,11.0,1.0,0.7467057281449262
270,CM1,1.0,0.0033300743687780204,47.0,0.28,17.0,0.69,0.7384292638958574
271,CM1,1.0,0.01,42.0,0.6,14.0,0.2,0.0
272,CM1,1.0,0.001,45.0,0.1,15.0,1.0,0.725718035235908
273,CM1,1.0,0.008631908873436985,43.0,0.1,10.0,1.0,0.7481458562487814
274,CM1,1.0,0.009817454032463282,41.0,0.1,10.0,1.0,0.7467057281449262
275,CM1,2.0,0.0074220588922296925,45.0,0.29,12.0,0.68,0.7011894655987543
276,CM1,1.0,0.01,45.0,0.6,18.0,1.0,0.7339012952101331
277,CM1,3.0,0.004349895782818004,42.0,0.1,11.0,1.0,0.7187952884282609
278,CM1,1.0,0.005245580723893539,46.0,0.13,16.0,0.98,0.7680241604995972
279,CM1,1.0,0.01,12.0,0.17,5.0,0.38,0.582737791234903
280,CM1,1.0,0.0025481454632747718,47.0,0.45,15.0,0.2,0.22204854324123713
281,CM1,2.0,0.0044780525015218516,46.0,0.48,17.0,0.74,0.7180703308172536
282,CM1,2.0,0.0023771873150016352,47.0,0.56,16.0,0.79,0.7386643351347079
283,CM1,1.0,0.01,42.0,0.1,10.0,1.0,0.743817107149929
284,CM1,3.0,0.005956060152410628,43.0,0.1,11.0,1.0,0.7268654162452175
285,CM1,1.0,0.01,45.0,0.1,12.0,1.0,0.758287544405155
286,CM1,1.0,0.005223040384238767,46.0,0.1,19.0,0.67,0.7535103036971543
287,CM1,1.0,0.001,40.0,0.1,10.0,1.0,0.7123903424387503
288,CM1,1.0,0.01,47.0,0.1,18.0,1.0,0.7659416862050705
289,CM1,2.0,0.01,47.0,0.1,20.0,1.0,0.6508541396588878
290,CM1,3.0,0.007977818963685457,45.0,0.11,13.0,0.94,0.6852615072607926
291,CM1,3.0,0.001,43.0,0.6,9.0,1.0,0.7423685817106696
292,CM1,1.0,0.00518818807755929,47.0,0.37,16.0,0.99,0.7596600116718881
293,CM1,1.0,0.001,43.0,0.6,9.0,0.2,0.0
294,CM1,4.0,0.0066394292786328,43.0,0.32,9.0,1.0,0.7763876465901411
295,CM1,1.0,0.01,46.0,0.1,17.0,1.0,0.7638080765334823
296,CM1,4.0,0.005545377829691985,42.0,0.3,8.0,0.85,0.7457285773732365
297,CM1,3.0,0.01,42.0,0.6,9.0,1.0,0.7850159234053791
